ProbNegro,ProbGris,ProbBco,CantAciertos
PRN1,PRG1,PRB1,0.113333333
PRN1,PRG1,PRB1,0.056666667
PRN1,PRG1,PRB1,0.066666667
PRN1,PRG1,PRB2,0.1
PRN1,PRG1,PRB2,0.123333333
PRN1,PRG1,PRB2,0.14
PRN1,PRG1,PRB3,0.18
PRN1,PRG1,PRB3,0.21
PRN1,PRG1,PRB3,0.163333333
PRN1,PRG2,PRB1,0.076666667
PRN1,PRG2,PRB1,0.053333333
PRN1,PRG2,PRB1,0.09
PRN1,PRG2,PRB2,0.13
PRN1,PRG2,PRB2,0.12
PRN1,PRG2,PRB2,0.11
PRN1,PRG2,PRB3,0.166666667
PRN1,PRG2,PRB3,0.183333333
PRN1,PRG2,PRB3,0.216666667
PRN1,PRG3,PRB1,0.12
PRN1,PRG3,PRB1,0.14
PRN1,PRG3,PRB1,0.1
PRN1,PRG3,PRB2,0.176666667
PRN1,PRG3,PRB2,0.166666667
PRN1,PRG3,PRB2,0.093333333
PRN1,PRG3,PRB3,0.263333333
PRN1,PRG3,PRB3,0.22
PRN1,PRG3,PRB3,0.276666667
PRN2,PRG1,PRB1,0.11
PRN2,PRG1,PRB1,0.16
PRN2,PRG1,PRB1,0.083333333
PRN2,PRG1,PRB2,0.106666667
PRN2,PRG1,PRB2,0.116666667
PRN2,PRG1,PRB2,0.086666667
PRN2,PRG1,PRB3,0.123333333
PRN2,PRG1,PRB3,0.116666667
PRN2,PRG1,PRB3,0.136666667
PRN2,PRG2,PRB1,0.126666667
PRN2,PRG2,PRB1,0.13
PRN2,PRG2,PRB1,0.12
PRN2,PRG2,PRB2,0.09
PRN2,PRG2,PRB2,0.073333333
PRN2,PRG2,PRB2,0.076666667
PRN2,PRG2,PRB3,0.113333333
PRN2,PRG2,PRB3,0.14
PRN2,PRG2,PRB3,0.116666667
PRN2,PRG3,PRB1,0.126666667
PRN2,PRG3,PRB1,0.11
PRN2,PRG3,PRB1,0.16
PRN2,PRG3,PRB2,0.096666667
PRN2,PRG3,PRB2,0.113333333
PRN2,PRG3,PRB2,0.09
PRN2,PRG3,PRB3,0.143333333
PRN2,PRG3,PRB3,0.123333333
PRN2,PRG3,PRB3,0.13
PRN3,PRG1,PRB1,0.25
PRN3,PRG1,PRB1,0.226666667
PRN3,PRG1,PRB1,0.206666667
PRN3,PRG1,PRB2,0.14
PRN3,PRG1,PRB2,0.163333333
PRN3,PRG1,PRB2,0.11
PRN3,PRG1,PRB3,0.116666667
PRN3,PRG1,PRB3,0.12
PRN3,PRG1,PRB3,0.156666667
PRN3,PRG2,PRB1,0.243333333
PRN3,PRG2,PRB1,0.163333333
PRN3,PRG2,PRB1,0.203333333
PRN3,PRG2,PRB2,0.113333333
PRN3,PRG2,PRB2,0.2
PRN3,PRG2,PRB2,0.12
PRN3,PRG2,PRB3,0.073333333
PRN3,PRG2,PRB3,0.133333333
PRN3,PRG2,PRB3,0.08
PRN3,PRG3,PRB1,0.253333333
PRN3,PRG3,PRB1,0.246666667
PRN3,PRG3,PRB1,0.216666667
PRN3,PRG3,PRB2,0.126666667
PRN3,PRG3,PRB2,0.12
PRN3,PRG3,PRB2,0.12
PRN3,PRG3,PRB3,0.093333333
PRN3,PRG3,PRB3,0.113333333
PRN3,PRG3,PRB3,0.1
